ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Protein name)	Disease comment	subunits(Gene name syn)	SWISSPROT organism	subunits(Gene name)	Complex comment	Subunits comment	PubMed ID
1135	Mss4-Itga3 complex	Mouse	None	None	Q62470;Q91X96	16400;98710	MI:0019- coimmunoprecipitation; MI:0018- two hybrid	GO:0005515;GO:0050789;GO:0005886	protein binding;regulation of biological process;plasma membrane	16.01;18;70.02	protein binding;REGULATION OF METABOLISM AND PROTEIN FUNCTION;eukaryotic plasma membrane / membrane attached	Integrin alpha-3 ;Guanine nucleotide exchange factor MSS4	None	;	Mus musculus (Mouse);Mus musculus (Mouse)	Itga3;Rabif	Mss4 binds to the cytosolic membrane proximal conserved region of {alpha}-integrin chains and this interaction is essential for MT1-MMP-mediated activation of MMP-2 and -9 as well as for ECM organization (PMID:17172637).	None	17172637
1136	Mss4-Itga7 complex	Mouse	None	None	Q61738;Q91X96	16404;98710	MI:0019- coimmunoprecipitation; MI:0018- two hybrid	GO:0005515;GO:0050789;GO:0005886	protein binding;regulation of biological process;plasma membrane	16.01;18;70.02	protein binding;REGULATION OF METABOLISM AND PROTEIN FUNCTION;eukaryotic plasma membrane / membrane attached	Integrin alpha-7 [Cleaved into: Integrin alpha-7 heavy chain; Integrin alpha-7 light chain];Guanine nucleotide exchange factor MSS4	None	;	Mus musculus (Mouse);Mus musculus (Mouse)	Itga7;Rabif	Mss4 binds to the cytosolic membrane proximal conserved region of {alpha}-integrin chains and this interaction is essential for MT1-MMP-mediated activation of MMP-2 and -9 as well as for ECM organization (PMID:17172637).	None	17172637
1137	SNARE complex (VAMP2, SNAP25, STX1a, CPLX1, CPLX3)	Human	None	None	O14810;P60880;P63027;Q16623;Q8WVH0	10815;6616;6844;6804;594855	MI:0027- cosedimentation	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Complexin-1 ;Synaptosomal-associated protein 25 ;Vesicle-associated membrane protein 2 ;Syntaxin-1A ;Complexin-3	None	;SNAP;SYB2;STX1;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	CPLX1;SNAP25;VAMP2;STX1A;CPLX3	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None	15911881
1138	SNARE complex (VAMP2, SNAP25, STX1a, CPLX3, CPLX4)	Human	None	None	P60880;P63027;Q16623;Q7Z7G2;Q8WVH0	6616;6844;6804;339302;594855	MI:0027- cosedimentation	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Synaptosomal-associated protein 25 ;Vesicle-associated membrane protein 2 ;Syntaxin-1A ;Complexin-4 ;Complexin-3	None	SNAP;SYB2;STX1;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	SNAP25;VAMP2;STX1A;CPLX4;CPLX3	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway. The interaction between the SNARE complex and CPX4 indicates a lower binding affinity.	None	15911881
1139	SNARE complex (VAMP2, SNAP25, STX1a, STX3, CPLX1, CPLX3, CPLX4)	Human	None	None	O14810;P60880;P63027;Q13277;Q16623;Q7Z7G2;Q8WVH0	10815;6616;6844;6809;6804;339302;594855	MI:0027- cosedimentation	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Complexin-1 ;Synaptosomal-associated protein 25 ;Vesicle-associated membrane protein 2 ;Syntaxin-3;Syntaxin-1A ;Complexin-4 ;Complexin-3	None	;SNAP;SYB2;STX3A;STX1;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	CPLX1;SNAP25;VAMP2;STX3;STX1A;CPLX4;CPLX3	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway. The interaction between the SNARE complex and CPX4 indicates a lower binding affinity.	None	15911881
1140	Complexin complex (STX3, CPLX1, CPLX3)	Human	None	None	O14810;Q13277;Q8WVH0	10815;6809;594855	MI:0027- cosedimentation	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Complexin-1 ;Syntaxin-3;Complexin-3	None	;STX3A;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	CPLX1;STX3;CPLX3	None	None	15911881
1141	CF IIAm complex (Cleavage factor IIAm complex)	Human	None	None	O43809;O60231;O94913;P19447;P23246;P26368;P26599;P49959;Q01081;Q07157;Q14444;Q16630;Q8N684;Q92759;Q92989;Q9UKF6	11051;8449;51585;2071;6421;11338;5725;4361;7307;7082;4076;11052;79869;2968;10978;51692	MI:0226- ion exchange chromatography	GO:0031123;GO:0031124;GO:0005634	RNA 3'-end processing;mRNA 3'-end processing;nucleus	11.04.03.05;70.10	3'-end processing;nucleus	Cleavage and polyadenylation specificity factor subunit 5 ;Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 ;Pre-mRNA cleavage complex 2 protein Pcf11 ;TFIIH basal transcription factor complex helicase XPB subunit ;Splicing factor, proline- and glutamine-rich ;Splicing factor U2AF 65 kDa subunit ;Polypyrimidine tract-binding protein 1 ;Double-strand break repair protein MRE11A ;Splicing factor U2AF 35 kDa subunit ;Tight junction protein ZO-1 ;Caprin-1 ;Cleavage and polyadenylation specificity factor subunit 6 ;Cleavage and polyadenylation specificity factor subunit 7 ;General transcription factor IIH subunit 4 ;Polyribonucleotide 5'-hydroxyl-kinase Clp1 ;Cleavage and polyadenylation specificity factor subunit 3	None	CFIM25 CPSF25 CPSF5;DBP2 DDX16 KIAA0577;KIAA0824;XPB XPBC;PSF;U2AF65;PTB;HNGS1 MRE11;U2AF35 U2AFBP;ZO1;GPIAP1 GPIP137 M11S1 RNG105;CFIM68;;;HEAB;CPSF73	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	NUDT21;DHX16;PCF11;ERCC3;SFPQ;U2AF2;PTBP1;MRE11A;U2AF1;TJP1;CAPRIN1;CPSF6;CPSF7;GTF2H4;CLP1;CPSF3	Eukaryotic mRNA precursors (pre-mRNAs) undergo a number of processing steps before they are exported to the cytoplasm. Six different protein factors are required in vitro for 3' end formation of mammalian pre-mRNAs by endonucleolytic cleavage and polyadenylation. One of these factors is cleavage factor IIm (CF IIm). During purification of CF IIm, the activity separated into an essential fraction (CF IIAm) and an apparently non-essential, but stimulatory component (CF IIBm).	None	11060040
1142	SMN complex	Human	None	None	O14893;P14678;P62304;P62306;P62308;P62314;P62316;P62318;Q16637;Q9UHI6	8487;6628;6635;6636;6637;6632;6633;6634;None;11218	MI:0019- coimmunoprecipitation	GO:0008380;GO:0032774;GO:0006461;GO:0003723;GO:0005737;GO:0005634	RNA splicing;RNA biosynthetic process;protein complex assembly;RNA binding;cytoplasm;nucleus	11.04.03.01;11.02;14.10;16.03.03;70.03;70.10	splicing;RNA synthesis;assembly of protein complexes;RNA binding;cytoplasm;nucleus	Gem-associated protein 2 ;Small nuclear ribonucleoprotein-associated proteins B and B' ;Small nuclear ribonucleoprotein E ;Small nuclear ribonucleoprotein F ;Small nuclear ribonucleoprotein G ;Small nuclear ribonucleoprotein Sm D1 ;Small nuclear ribonucleoprotein Sm D2 ;Small nuclear ribonucleoprotein Sm D3 ;Survival motor neuron protein ;Probable ATP-dependent RNA helicase DDX20	Spinal muscular atrophy (SMA)	SIP1;COD SNRPB1;;PBSCF;PBSCG;;SNRPD1;;SMN SMNT; SMNC;DP103 GEMIN3	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	GEMIN2;SNRPB;SNRPE;SNRPF;SNRPG;SNRPD1;SNRPD2;SNRPD3;SMN1; SMN2;DDX20	Assembly of the Sm-class of U-rich small nuclear ribonucleoprotein particles (U snRNPs) is a process facilitated by the macromolecular survival of motor neuron (SMN) complex. Spinal muscular atrophy (SMA) is the most common genetic cause of infant mortality. Deletions or mutations in the survival of motor neurons (SMN1) gene, the SMA-causing gene, are detected in over 95% of SMA patients. The SMN complex is found both in the cytoplasm and in the nucleus, where it is concentrated in gems, nuclear bodies similar in size and number to Cajal (coiled) bodies and often associated with them.	Several other subunits of the complex were found in the analysis, which have not been further characterized:  p175, p95, p60, p50 using anti-SMN (2B1) or p175, p115, p95, p50 using anti-Gemin3 (11G9).	10601333
1143	SMN complex	Human	None	None	O14893;P14678;P57678;P62304;P62306;P62308;P62314;P62316;P62318;Q16637;Q8TEQ6;Q8WXD5;Q9H840;Q9NWZ8;Q9UHI6;Q9Y3F4	8487;6628;50628;6635;6636;6637;6632;6633;6634;None;25929;79833;79760;54960;11218;11171	MI:0019- coimmunoprecipitation	GO:0008380;GO:0032774;GO:0006461;GO:0003723;GO:0005737;GO:0005634	RNA splicing;RNA biosynthetic process;protein complex assembly;RNA binding;cytoplasm;nucleus	11.04.03.01;11.02;14.10;16.03.03;70.03;70.10	splicing;RNA synthesis;assembly of protein complexes;RNA binding;cytoplasm;nucleus	Gem-associated protein 2 ;Small nuclear ribonucleoprotein-associated proteins B and B' ;Gem-associated protein 4 ;Small nuclear ribonucleoprotein E ;Small nuclear ribonucleoprotein F ;Small nuclear ribonucleoprotein G ;Small nuclear ribonucleoprotein Sm D1 ;Small nuclear ribonucleoprotein Sm D2 ;Small nuclear ribonucleoprotein Sm D3 ;Survival motor neuron protein ;Gem-associated protein 5 ;Gem-associated protein 6 ;Gem-associated protein 7 ;Gem-associated protein 8 ;Probable ATP-dependent RNA helicase DDX20 ;Serine-threonine kinase receptor-associated protein	Spinal muscular atrophy (SMA)	SIP1;COD SNRPB1;;;PBSCF;PBSCG;;SNRPD1;;SMN SMNT; SMNC;;;;FAM51A1;DP103 GEMIN3;MAWD UNRIP	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	GEMIN2;SNRPB;GEMIN4;SNRPE;SNRPF;SNRPG;SNRPD1;SNRPD2;SNRPD3;SMN1; SMN2;GEMIN5;GEMIN6;GEMIN7;GEMIN8;DDX20;STRAP	Assembly of the Sm-class of U-rich small nuclear ribonucleoprotein particles (U snRNPs) is a process facilitated by the macromolecular survival of motor neuron (SMN) complex.  Spinal muscular atrophy (SMA) is the most common genetic cause of infant mortality. Deletions or mutations in the survival of motor neurons (SMN1) gene, the SMA-causing gene, are detected in over 95% of SMA patients. The SMN complex is found both in the cytoplasm and in the nucleus, where it is concentrated in gems, nuclear bodies similar in size and number to Cajal (coiled) bodies and often associated with them. Nine factors, including the SMN protein, the product of the spinal muscular atrophy (SMA) disease gene, Gemins 2-8  and unrip have been identified as the major components of the SMN complex. Interaction studies in the present article revealed a framework of the SMN complex with SMN, Gemin7, and Gemin8 as its backbone.	None	17178713
1144	Cleavage and polyadenylation factor (CPSF)	Human	None	None	O95639;Q10570;Q6UN15;Q9P2I0;Q9UKF6	10898;29894;None;53981;51692	MI:0019- coimmunoprecipitation	GO:0031123;GO:0031124;GO:0003723;GO:0051098;GO:0005515;GO:0030234;GO:0050790;GO:0005634	RNA 3'-end processing;mRNA 3'-end processing;RNA binding;regulation of binding;protein binding;enzyme regulator activity;regulation of catalytic activity;nucleus	11.04.03.05;16.03.03;18.01.07;16.01;18.02.01;70.10	3'-end processing;RNA binding;regulation by binding / dissociation;protein binding;enzymatic activity regulation / enzyme regulator;nucleus	Cleavage and polyadenylation specificity factor subunit 4 ;Cleavage and polyadenylation specificity factor subunit 1 ;Pre-mRNA 3'-end-processing factor FIP1 ;Cleavage and polyadenylation specificity factor subunit 2 ;Cleavage and polyadenylation specificity factor subunit 3	None	CPSF30 NAR NEB1;CPSF160;FIP1 RHE;CPSF100 KIAA1367;CPSF73	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	CPSF4;CPSF1;FIP1L1;CPSF2;CPSF3	In mammals, polyadenylation of mRNA precursors (pre-mRNAs) by poly(A) polymerase (PAP) depends on cleavage and polyadenylation specificity factor (CPSF). CPSF is a multisubunit complex that binds to the canonical AAUAAA hexamer and to U-rich upstream sequence elements on the pre-mRNA, thereby stimulating the otherwise weakly active and nonspecific polymerase to elongate efficiently RNAs containing a poly(A) signal.	None	14749727
1145	Mammalian cleavage factor I (CF Im)	Mammalia	None	COS cells	O43809;Q16630	11051;11052	MI:0019- coimmunoprecipitation	GO:0031123;GO:0031124;GO:0003723;GO:0005634	RNA 3'-end processing;mRNA 3'-end processing;RNA binding;nucleus	11.04.03.05;16.03.03;70.10	3'-end processing;RNA binding;nucleus	Cleavage and polyadenylation specificity factor subunit 5 ;Cleavage and polyadenylation specificity factor subunit 6	None	CFIM25 CPSF25 CPSF5;CFIM68	Homo sapiens (Human);Homo sapiens (Human)	NUDT21;CPSF6	Eukaryotic mRNA precursors (pre-mRNAs) undergo a number of processing steps before they are exported to the cytoplasm. The binding of CF Im to the pre-mRNA is thought to be one of the earliest steps in the assembly of the cleavage and polyadenylation machinery and facilitates the recruitment of other processing factors.	Since NUDT21 and CPSF6 from green monkey were not available in the UniProt database at the time of annotation, the orthologous human proteins were used.	17172643
1146	Cleavage stimulation factor	Human	None	None	P33240;Q05048;Q12996	1478;1477;1479	MI:0019- coimmunoprecipitation	GO:0031123;GO:0031124;GO:0003723;GO:0005634	RNA 3'-end processing;mRNA 3'-end processing;RNA binding;nucleus	11.04.03.05;16.03.03;70.10	3'-end processing;RNA binding;nucleus	Cleavage stimulation factor subunit 2 ;Cleavage stimulation factor subunit 1 ;Cleavage stimulation factor subunit 3	None	;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	CSTF2;CSTF1;CSTF3	Polyadenylation of mRNA precursors is a two-step reaction requiring multiple protein factors. Cleavage stimulation factor (CstF) is a heterotrimer necessary for the first step, endonucleolytic cleavage, and it plays an important role in determining the efficiency of polyadenylation. The cleavage and polyadenylation specificity factor (CPSF) recognizes the highly conserved hexanucleotide AAUAAA, whereas CstF binds to GU- or U-rich elements downstream of the poly(A) site.	None	10669729
1147	Polyadenylation complex (CSTF1, CSTF2, CSTF3, SYMPK CPSF1, CPSF2, CPSF3)	Human	None	None	P33240;Q05048;Q10570;Q12996;Q92797;Q9P2I0;Q9UKF6	1478;1477;29894;1479;8189;53981;51692	MI:0019- coimmunoprecipitation	GO:0031123;GO:0031124;GO:0003723;GO:0005634	RNA 3'-end processing;mRNA 3'-end processing;RNA binding;nucleus	11.04.03.05;16.03.03;70.10	3'-end processing;RNA binding;nucleus	Cleavage stimulation factor subunit 2 ;Cleavage stimulation factor subunit 1 ;Cleavage and polyadenylation specificity factor subunit 1 ;Cleavage stimulation factor subunit 3 ;Symplekin;Cleavage and polyadenylation specificity factor subunit 2 ;Cleavage and polyadenylation specificity factor subunit 3	None	;;CPSF160;;SPK;CPSF100 KIAA1367;CPSF73	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	CSTF2;CSTF1;CPSF1;CSTF3;SYMPK;CPSF2;CPSF3	Polyadenylation of mRNA precursors is a two-step reaction requiring multiple protein factors. The polyadenylation complex (containing Cstf1, Cstf2, Cstf3, Sympk, Cpsf1, Cpsf2 and Cpsf3), which contains the cleavage stimulation factor (CstF) and subunits of the cleavage and polyadenylation specificity factor (CPSF) might consist of more protein components.	None	10669729
1148	snRNP-free U1A (SF-A) complex	Human	None	None	P09012;P17844;P23246;Q15233	6626;1655;6421;4841	MI:0096- pull down	GO:0031123;GO:0031124;GO:0003723;GO:0005634	RNA 3'-end processing;mRNA 3'-end processing;RNA binding;nucleus	11.04.03.05;16.03.03;70.10	3'-end processing;RNA binding;nucleus	U1 small nuclear ribonucleoprotein A ;Probable ATP-dependent RNA helicase DDX5 ;Splicing factor, proline- and glutamine-rich ;Non-POU domain-containing octamer-binding protein	None	;G17P1 HELR HLR1;PSF;NRB54	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	SNRPA;DDX5;SFPQ;NONO	The formation of mRNAs in the nuclei of eukaryotic cells involves several co- and post-transcriptional processing events, including 5' end capping, RNA splicing, and 3' end formation. The SF-A complex was found to be involved in cleavage of the mRNA precursor, an essential step of the 3' end formation process.	None	16373496
1149	Histone H3.1 complex	Human	None	None	O14929;P49321;P62805;P68431;Q09028;Q13111;Q13112;Q8TEX9;Q9NVP2;Q9Y294	8520;4678;None;None;5928;10036;8208;79711;55723;25842	MI:0019- coimmunoprecipitation	GO:0006461;GO:0005634	protein complex assembly;nucleus	14.10;70.10	assembly of protein complexes;nucleus	Histone acetyltransferase type B catalytic subunit ;Nuclear autoantigenic sperm protein ;Histone H4;Histone H3.1 ;Histone-binding protein RBBP4 ;Chromatin assembly factor 1 subunit A ;Chromatin assembly factor 1 subunit B ;Importin-4 ;Histone chaperone ASF1B ;Histone chaperone ASF1A	None	KAT1;;H4/A H4FA; H4/I H4FI; H4/G H4FG; H4/B H4FB; H4/J H4FJ; H4/C H4FC; H4/H H4FH; H4/M H4FM; H4/E H4FE; H;H3FA; H3FL; H3FC; H3FB; H3FD; H3FI; H3FH; H3FK; H3FF; H3FJ;RBAP48;CAF CAF1P150;CAF1A CAF1P60 MPHOSPH7 MPP7;IMP4B RANBP4;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	HAT1;NASP;HIST1H4A; ;HIST1H3A; ;RBBP4;CHAF1A;CHAF1B;IPO4;ASF1B;ASF1A	The H3.1 and H3.3 complexes contain distinct histone chaperones, CAF-1 and HIRA, that were shown to be necessary to mediate DNA-synthesis-dependent and -independent nucleosome assembly, respectively.	None	14718166
1150	Histone H3.3 complex	Human	None	None	O14929;P49321;P54198;P62805;P84243;Q09028;Q8TEX9;Q9NVP2;Q9Y294	8520;4678;7290;None;None;5928;79711;55723;25842	MI:0019- coimmunoprecipitation	GO:0006461;GO:0005634	protein complex assembly;nucleus	14.10;70.10	assembly of protein complexes;nucleus	Histone acetyltransferase type B catalytic subunit ;Nuclear autoantigenic sperm protein ;Protein HIRA ;Histone H4;Histone H3.3;Histone-binding protein RBBP4 ;Importin-4 ;Histone chaperone ASF1B ;Histone chaperone ASF1A	None	KAT1;;DGCR1 HIR TUPLE1;H4/A H4FA; H4/I H4FI; H4/G H4FG; H4/B H4FB; H4/J H4FJ; H4/C H4FC; H4/H H4FH; H4/M H4FM; H4/E H4FE; H;H3.3A H3F3; H3.3B;RBAP48;IMP4B RANBP4;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	HAT1;NASP;HIRA;HIST1H4A; ;H3F3A; H3F;RBBP4;IPO4;ASF1B;ASF1A	The H3.1 and H3.3 complexes contain distinct histone chaperones, CAF-1 and HIRA, that were shown to be necessary to mediate DNA-synthesis-dependent and -independent nucleosome assembly, respectively.	None	14718166
